"m11104","year","age_gr","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Mindestens einmal die Woche","2009","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2009","35-65","kein Migrationshintergrund","3364","0.378525765140666","0.368292195633106","0.388759334648226"
"Mindestens einmal die Woche","2009","35-65","direkter Migrationshintergrund","242","","",""
"Mindestens einmal die Woche","2009","35-65","indirekter Migrationshintergrund","71","0.376063668549152","0.307005029458704","0.445122307639601"
"Mindestens einmal die Woche","2009","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2009","66 +","kein Migrationshintergrund","1057","","",""
"Mindestens einmal die Woche","2009","66 +","direkter Migrationshintergrund","44","0.115918812090523","0.0816381877323256","0.150199436448721"
"Mindestens einmal die Woche","2009","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2009","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2010","17-34","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2010","17-34","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2010","17-34","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2010","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2010","35-65","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2010","35-65","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2010","35-65","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2010","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2010","66 +","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2010","66 +","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2010","66 +","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2010","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2010","17-34","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2010","17-34","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2010","17-34","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2010","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2010","35-65","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2010","35-65","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2010","35-65","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2010","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2010","66 +","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2010","66 +","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2010","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2010","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2010","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2010","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2010","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2010","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2010","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2010","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2010","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2010","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2010","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2010","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2010","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2010","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2010","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2010","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2010","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2010","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2010","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2010","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2010","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2010","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2010","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2010","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2010","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2010","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2011","17-34","kein Migrationshintergrund","1567","","",""
"Fast nie oder nie","2011","17-34","direkter Migrationshintergrund","442","0.401149007900601","0.368673473043797","0.433624542757405"
"Fast nie oder nie","2011","17-34","indirekter Migrationshintergrund","236","","",""
"Fast nie oder nie","2011","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2011","35-65","kein Migrationshintergrund","5025","0.355239143984854","0.347295887778472","0.363182400191235"
"Fast nie oder nie","2011","35-65","direkter Migrationshintergrund","1037","","",""
"Fast nie oder nie","2011","35-65","indirekter Migrationshintergrund","189","","",""
"Fast nie oder nie","2011","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2011","66 +","kein Migrationshintergrund","2720","","",""
"Fast nie oder nie","2011","66 +","direkter Migrationshintergrund","304","0.767625833247431","0.727137615143786","0.808114051351075"
"Fast nie oder nie","2011","66 +","indirekter Migrationshintergrund","2","","",""
"Fast nie oder nie","2011","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2011","17-34","kein Migrationshintergrund","984","0.191312379731757","0.180530000492954","0.20209475897056"
"Mehrmals im Jahr","2011","17-34","direkter Migrationshintergrund","156","","",""
"Mehrmals im Jahr","2011","17-34","indirekter Migrationshintergrund","157","","",""
"Mehrmals im Jahr","2011","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2011","35-65","kein Migrationshintergrund","2499","","",""
"Mehrmals im Jahr","2011","35-65","direkter Migrationshintergrund","305","0.173026826764382","0.156224572693159","0.189829080835604"
"Mehrmals im Jahr","2011","35-65","indirekter Migrationshintergrund","99","0.167107385015148","0.134341209979718","0.199873560050579"
"Mehrmals im Jahr","2011","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2011","66 +","kein Migrationshintergrund","359","0.0749835406829815","0.0674276286586714","0.0825394527072916"
"Mehrmals im Jahr","2011","66 +","direkter Migrationshintergrund","23","","",""
"Mehrmals im Jahr","2011","66 +","indirekter Migrationshintergrund","1","","",""
"Mehrmals im Jahr","2011","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2011","17-34","kein Migrationshintergrund","448","0.101653526607199","0.0933696079251331","0.109937445289265"
"Mindestens einmal im Monat","2011","17-34","direkter Migrationshintergrund","42","0.0528857236517786","0.0380566343113328","0.0677148129922243"
"Mindestens einmal im Monat","2011","17-34","indirekter Migrationshintergrund","72","0.0869592517673299","0.067322808531623","0.106595695003037"
"Mindestens einmal im Monat","2011","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2011","35-65","kein Migrationshintergrund","983","0.0736675320762924","0.0693318209860393","0.0780032431665455"
"Mindestens einmal im Monat","2011","35-65","direkter Migrationshintergrund","92","0.0469951064531298","0.0375948652058388","0.0563953477004208"
"Mindestens einmal im Monat","2011","35-65","indirekter Migrationshintergrund","30","0.0663728547327685","0.0445095703681659","0.0882361390973711"
"Mindestens einmal im Monat","2011","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2011","66 +","kein Migrationshintergrund","126","","",""
"Mindestens einmal im Monat","2011","66 +","direkter Migrationshintergrund","12","","",""
"Mindestens einmal im Monat","2011","66 +","indirekter Migrationshintergrund","1","","",""
"Mindestens einmal im Monat","2011","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2011","17-34","kein Migrationshintergrund","2113","","",""
"Mindestens einmal die Woche","2011","17-34","direkter Migrationshintergrund","235","","",""
"Mindestens einmal die Woche","2011","17-34","indirekter Migrationshintergrund","326","0.426366368948251","0.391902135578998","0.460830602317504"
"Mindestens einmal die Woche","2011","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2011","35-65","kein Migrationshintergrund","5438","0.383381482871405","0.375311684581083","0.391451281161727"
"Mindestens einmal die Woche","2011","35-65","direkter Migrationshintergrund","513","0.265868106968216","0.246244208747905","0.285492005188527"
"Mindestens einmal die Woche","2011","35-65","indirekter Migrationshintergrund","180","","",""
"Mindestens einmal die Woche","2011","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2011","66 +","kein Migrationshintergrund","1462","","",""
"Mindestens einmal die Woche","2011","66 +","direkter Migrationshintergrund","79","0.165377729559313","0.129761868598419","0.200993590520207"
"Mindestens einmal die Woche","2011","66 +","indirekter Migrationshintergrund","1","","",""
"Mindestens einmal die Woche","2011","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2012","17-34","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2012","17-34","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2012","17-34","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2012","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2012","35-65","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2012","35-65","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2012","35-65","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2012","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2012","66 +","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2012","66 +","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2012","66 +","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2012","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2012","17-34","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2012","17-34","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2012","17-34","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2012","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2012","35-65","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2012","35-65","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2012","35-65","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2012","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2012","66 +","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2012","66 +","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2012","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2012","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2012","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2012","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2012","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2012","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2012","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2012","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2012","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2012","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2012","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2012","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2012","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2012","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2012","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2012","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2012","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2012","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2012","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2012","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2012","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2012","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2012","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2012","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2012","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2012","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2013","17-34","kein Migrationshintergrund","1036","","",""
"Fast nie oder nie","2013","17-34","direkter Migrationshintergrund","260","","",""
"Fast nie oder nie","2013","17-34","indirekter Migrationshintergrund","161","","",""
"Fast nie oder nie","2013","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2013","35-65","kein Migrationshintergrund","3772","0.290868577632752","0.282964230857753","0.298772924407751"
"Fast nie oder nie","2013","35-65","direkter Migrationshintergrund","798","0.431938917443077","0.408287518987794","0.45559031589836"
"Fast nie oder nie","2013","35-65","indirekter Migrationshintergrund","164","","",""
"Fast nie oder nie","2013","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2013","66 +","kein Migrationshintergrund","2002","","",""
"Fast nie oder nie","2013","66 +","direkter Migrationshintergrund","235","","",""
"Fast nie oder nie","2013","66 +","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2013","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2013","17-34","kein Migrationshintergrund","649","0.138876251277697","0.128593721486207","0.149158781069187"
"Mehrmals im Jahr","2013","17-34","direkter Migrationshintergrund","75","0.165206734077911","0.135516460698476","0.194897007457346"
"Mehrmals im Jahr","2013","17-34","indirekter Migrationshintergrund","95","0.137522342407389","0.111147613871711","0.163897070943067"
"Mehrmals im Jahr","2013","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2013","35-65","kein Migrationshintergrund","2014","","",""
"Mehrmals im Jahr","2013","35-65","direkter Migrationshintergrund","248","","",""
"Mehrmals im Jahr","2013","35-65","indirekter Migrationshintergrund","84","0.142692267464976","0.112659329473173","0.17272520545678"
"Mehrmals im Jahr","2013","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2013","66 +","kein Migrationshintergrund","458","0.102835901529436","0.0939858230429078","0.111685980015963"
"Mehrmals im Jahr","2013","66 +","direkter Migrationshintergrund","30","0.0692462635965899","0.0432372959282355","0.0952552312649444"
"Mehrmals im Jahr","2013","66 +","indirekter Migrationshintergrund","1","","",""
"Mehrmals im Jahr","2013","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2013","17-34","kein Migrationshintergrund","309","0.0802029091344727","0.0721269469417763","0.0882788713271691"
"Mindestens einmal im Monat","2013","17-34","direkter Migrationshintergrund","31","0.0711279681867659","0.0505781019276017","0.09167783444593"
"Mindestens einmal im Monat","2013","17-34","indirekter Migrationshintergrund","49","0.0794977807576797","0.0587812340472283","0.100214327468131"
"Mindestens einmal im Monat","2013","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2013","35-65","kein Migrationshintergrund","620","0.0501177854158871","0.0463203969162234","0.0539151739155508"
"Mindestens einmal im Monat","2013","35-65","direkter Migrationshintergrund","76","0.0573449247261446","0.0462436707920604","0.0684461786602289"
"Mindestens einmal im Monat","2013","35-65","indirekter Migrationshintergrund","23","","",""
"Mindestens einmal im Monat","2013","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2013","66 +","kein Migrationshintergrund","134","","",""
"Mindestens einmal im Monat","2013","66 +","direkter Migrationshintergrund","5","0.0178055621708952","0.00425728326226055","0.0313538410795298"
"Mindestens einmal im Monat","2013","66 +","indirekter Migrationshintergrund","1","","",""
"Mindestens einmal im Monat","2013","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2013","17-34","kein Migrationshintergrund","2351","","",""
"Mindestens einmal die Woche","2013","17-34","direkter Migrationshintergrund","235","","",""
"Mindestens einmal die Woche","2013","17-34","indirekter Migrationshintergrund","350","0.55254915703651","0.5144701542397","0.59062815983332"
"Mindestens einmal die Woche","2013","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2013","35-65","kein Migrationshintergrund","6276","0.492535229542726","0.483834096376997","0.501236362708454"
"Mindestens einmal die Woche","2013","35-65","direkter Migrationshintergrund","563","0.339153423445372","0.316548837138455","0.36175800975229"
"Mindestens einmal die Woche","2013","35-65","indirekter Migrationshintergrund","250","","",""
"Mindestens einmal die Woche","2013","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2013","66 +","kein Migrationshintergrund","1931","","",""
"Mindestens einmal die Woche","2013","66 +","direkter Migrationshintergrund","96","0.251467532027799","0.207019367717974","0.295915696337623"
"Mindestens einmal die Woche","2013","66 +","indirekter Migrationshintergrund","2","","",""
"Mindestens einmal die Woche","2013","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2014","17-34","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2014","17-34","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2014","17-34","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2014","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2014","35-65","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2014","35-65","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2014","35-65","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2014","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2014","66 +","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2014","66 +","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2014","66 +","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2014","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2014","17-34","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2014","17-34","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2014","17-34","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2014","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2014","35-65","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2014","35-65","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2014","35-65","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2014","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2014","66 +","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2014","66 +","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2014","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2014","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2014","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2014","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2014","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2014","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2014","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2014","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2014","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2014","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2014","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2014","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2014","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2014","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2014","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2014","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2014","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2014","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2014","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2014","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2014","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2014","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2014","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2014","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2014","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2014","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2015","17-34","kein Migrationshintergrund","941","0.206131134063887","0.193147445768211","0.219114822359563"
"Fast nie oder nie","2015","17-34","direkter Migrationshintergrund","732","0.301284451886883","0.280756332377371","0.321812571396396"
"Fast nie oder nie","2015","17-34","indirekter Migrationshintergrund","247","","",""
"Fast nie oder nie","2015","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2015","35-65","kein Migrationshintergrund","3740","0.338866006878817","0.330012293778424","0.347719719979209"
"Fast nie oder nie","2015","35-65","direkter Migrationshintergrund","1878","","",""
"Fast nie oder nie","2015","35-65","indirekter Migrationshintergrund","256","","",""
"Fast nie oder nie","2015","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2015","66 +","kein Migrationshintergrund","2266","","",""
"Fast nie oder nie","2015","66 +","direkter Migrationshintergrund","285","","",""
"Fast nie oder nie","2015","66 +","indirekter Migrationshintergrund","1","","",""
"Fast nie oder nie","2015","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2015","17-34","kein Migrationshintergrund","539","0.142461892891091","0.131243569152919","0.153680216629262"
"Mehrmals im Jahr","2015","17-34","direkter Migrationshintergrund","291","","",""
"Mehrmals im Jahr","2015","17-34","indirekter Migrationshintergrund","142","","",""
"Mehrmals im Jahr","2015","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2015","35-65","kein Migrationshintergrund","1702","","",""
"Mehrmals im Jahr","2015","35-65","direkter Migrationshintergrund","464","0.128049988739573","0.117019262752307","0.139080714726838"
"Mehrmals im Jahr","2015","35-65","indirekter Migrationshintergrund","120","","",""
"Mehrmals im Jahr","2015","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2015","66 +","kein Migrationshintergrund","388","0.0863765494035327","0.0781070204914765","0.0946460783155889"
"Mehrmals im Jahr","2015","66 +","direkter Migrationshintergrund","27","","",""
"Mehrmals im Jahr","2015","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2015","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2015","17-34","kein Migrationshintergrund","293","","",""
"Mindestens einmal im Monat","2015","17-34","direkter Migrationshintergrund","97","0.0843220730151681","0.0718897405992132","0.096754405431123"
"Mindestens einmal im Monat","2015","17-34","indirekter Migrationshintergrund","72","0.0787144759616533","0.061922799931817","0.0955061519914897"
"Mindestens einmal im Monat","2015","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2015","35-65","kein Migrationshintergrund","678","0.0634084984550065","0.0588500658386477","0.0679669310713653"
"Mindestens einmal im Monat","2015","35-65","direkter Migrationshintergrund","151","","",""
"Mindestens einmal im Monat","2015","35-65","indirekter Migrationshintergrund","23","","",""
"Mindestens einmal im Monat","2015","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2015","66 +","kein Migrationshintergrund","118","","",""
"Mindestens einmal im Monat","2015","66 +","direkter Migrationshintergrund","7","0.0131892722217589","0.00238106771437785","0.02399747672914"
"Mindestens einmal im Monat","2015","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2015","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2015","17-34","kein Migrationshintergrund","1956","","",""
"Mindestens einmal die Woche","2015","17-34","direkter Migrationshintergrund","799","0.472274859675998","0.449938524934742","0.494611194417253"
"Mindestens einmal die Woche","2015","17-34","indirekter Migrationshintergrund","527","0.580760662217502","0.549992664988986","0.611528659446017"
"Mindestens einmal die Woche","2015","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2015","35-65","kein Migrationshintergrund","4859","0.435668629524073","0.426393671780486","0.444943587267659"
"Mindestens einmal die Woche","2015","35-65","direkter Migrationshintergrund","1032","","",""
"Mindestens einmal die Woche","2015","35-65","indirekter Migrationshintergrund","286","","",""
"Mindestens einmal die Woche","2015","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2015","66 +","kein Migrationshintergrund","1661","","",""
"Mindestens einmal die Woche","2015","66 +","direkter Migrationshintergrund","109","","",""
"Mindestens einmal die Woche","2015","66 +","indirekter Migrationshintergrund","3","","",""
"Mindestens einmal die Woche","2015","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2016","17-34","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2016","17-34","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2016","17-34","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2016","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2016","35-65","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2016","35-65","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2016","35-65","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2016","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2016","66 +","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2016","66 +","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2016","66 +","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2016","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2016","17-34","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2016","17-34","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2016","17-34","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2016","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2016","35-65","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2016","35-65","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2016","35-65","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2016","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
