"beruf","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"In Rente oder Pension","1988","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1988","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","161","0.142450646315659","0.129237835009524","0.155663457621794"
"In Rente oder Pension","1988","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1988","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"In Rente oder Pension","1988","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1988","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","249","0.0350673750378742","0.0307867949868868","0.0393479550888616"
"Arbeitslose","1988","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1988","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","201","0.0649279204492203","0.0556131587187446","0.074242682179696"
"Arbeitslose","1988","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1988","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Arbeitslose","1988","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1988","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1024","0.129492420614667","0.121679544247486","0.137305296981847"
"Sonstige Nichterwerbspersonen","1988","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1988","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","489","0.164572433961033","0.150555068204198","0.178589799717869"
"Sonstige Nichterwerbspersonen","1988","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1988","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1988","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1988","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","397","0.050732463405309","0.0456257699497713","0.0558391568608468"
"Beamte","1988","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1988","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1988","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1988","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1988","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1989","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1024","0.136045934821807","0.127914083200702","0.144177786442912"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1989","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1989","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1104","0.323725258958998","0.305743681350065","0.34170683656793"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1989","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1989","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","53","0.147260496994965","0.104269337412963","0.190251656576966"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1989","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1989","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1912","0.268937447721182","0.258420148172679","0.279454747269685"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1989","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1989","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","434","0.193738404636121","0.178549594222715","0.208927215049527"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1989","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1989","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","42","0.177419721899336","0.13107311644016","0.223766327358512"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1989","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1989","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","435","0.0578283012084116","0.052291784953153","0.0633648174636703"
"Selbstständige/ManagerInnen","1989","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1989","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","79","0.0329494095277928","0.0260893745475064","0.0398094445080792"
"Selbstständige/ManagerInnen","1989","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1989","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1989","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1989","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","669","0.0855969501647528","0.0789610581033286","0.092232842226177"
"In Ausbildung","1989","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1989","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","144","0.0466772434318968","0.038570424086176","0.0547840627776175"
"In Ausbildung","1989","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1989","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","118","0.369428849016662","0.310874347300427","0.427983350732896"
"In Ausbildung","1989","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1989","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1270","0.249297283520732","0.239036179231431","0.259558387810033"
"In Rente oder Pension","1989","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1989","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","181","0.160708744930054","0.146594618003757","0.17482287185635"
"In Rente oder Pension","1989","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1989","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"In Rente oder Pension","1989","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1989","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","191","0.0263835573215496","0.0225819963491024","0.0301851182939968"
"Arbeitslose","1989","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1989","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","125","0.0483822746509229","0.040136104009606","0.0566284452922398"
"Arbeitslose","1989","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1989","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Arbeitslose","1989","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1989","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","953","0.126131438373306","0.118256701218855","0.134006175527757"
"Sonstige Nichterwerbspersonen","1989","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1989","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","525","0.183294717603237","0.168425587147733","0.198163848058741"
"Sonstige Nichterwerbspersonen","1989","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1989","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1989","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1989","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","374","0.0497790868682591","0.0446204246727388","0.0549377490637795"
"Beamte","1989","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1989","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1989","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1989","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1989","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1990","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","949","0.131799046878106","0.123672469061628","0.139925624694585"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1990","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","668","0.147168579129396","0.136557393688099","0.157779764570692"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1990","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1019","0.304767085031051","0.286880034631614","0.322654135430489"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1990","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1990","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","61","0.172656652700954","0.129600345058621","0.215712960343287"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1990","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1990","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1944","0.28027586615213","0.269485968655598","0.291065763648662"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1990","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","2328","0.498222998756197","0.48324713014839","0.513198867364004"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1990","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","488","0.222333242889114","0.206175209319138","0.238491276459091"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1990","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","67","0.410709118864747","0.330076251222808","0.491341986506686"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1990","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","44","0.15713807008502","0.115678846750147","0.198597293419894"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1990","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1990","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","420","0.0582817322017736","0.0526535498834391","0.0639099145201082"
"Selbstständige/ManagerInnen","1990","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","181","0.0405078006516418","0.0346028698077049","0.0464127314955788"
"Selbstständige/ManagerInnen","1990","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","83","0.0415881728301958","0.0338301591726851","0.0493461864877065"
"Selbstständige/ManagerInnen","1990","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1990","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1990","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1990","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","605","0.0822070537851524","0.0756082026053724","0.0888059049649324"
"In Ausbildung","1990","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","268","0.0550332104940907","0.0482028211968109","0.0618635997913705"
"In Ausbildung","1990","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","135","0.0498688213116501","0.0414102722213195","0.0583273704019806"
"In Ausbildung","1990","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1990","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","136","0.377744536843413","0.322513182777595","0.432975890909232"
"In Ausbildung","1990","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1990","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1300","0.247001308103193","0.236640630212219","0.257361985994166"
"In Rente oder Pension","1990","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","610","0.208180568492468","0.196019886482118","0.220341250502818"
"In Rente oder Pension","1990","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","194","0.154418885381904","0.140377260021758","0.16846051074205"
"In Rente oder Pension","1990","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","41","0.368317731381528","0.289260658759803","0.447374804003252"
"In Rente oder Pension","1990","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"In Rente oder Pension","1990","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1990","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","168","0.025207171222983","0.021441350397099","0.0289729920488671"
"Arbeitslose","1990","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1990","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","143","0.0500271512480629","0.0415558910689552","0.0584984114271706"
"Arbeitslose","1990","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
